station,year,raw_rows,clean_rows,duplicates_removed,pm25_valid,pm25_missing_percent,pm10_valid,pm10_missing_percent,date_start,date_end,columns_available
Sonia_Vihar,2023,8760,8760,0,8420,3.88,8361,4.55,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Sonia_Vihar,2024,8784,8784,0,8365,4.77,8497,3.27,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Sonia_Vihar,2025,8760,8760,0,8411,3.98,8441,3.64,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Sri_Aurobindo_Marg,2022,8760,8760,0,8530,2.63,8499,2.98,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Sri_Aurobindo_Marg,2023,8760,8760,0,8503,2.93,8476,3.24,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Sri_Aurobindo_Marg,2024,8784,8784,0,8633,1.72,8648,1.55,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Sri_Aurobindo_Marg,2025,8760,8760,0,8351,4.67,8421,3.87,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Talkatora_Garden,2025,8760,8760,0,0,100.0,0,100.0,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Vivek_Vihar,2022,8760,8760,0,8275,5.54,8446,3.58,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Vivek_Vihar,2023,8760,8760,0,8290,5.37,8301,5.24,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Vivek_Vihar,2024,8784,8784,0,8479,3.47,8532,2.87,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Vivek_Vihar,2025,8760,8760,0,8472,3.29,8468,3.33,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Wazirpur,2022,8760,8760,0,8479,3.21,8456,3.47,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Wazirpur,2023,8760,8760,0,8373,4.42,8398,4.13,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Wazirpur,2024,8784,8784,0,8570,2.44,8584,2.28,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Wazirpur,2025,8760,8760,0,8604,1.78,8574,2.12,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
