station,year,month,split,period,lag_sentinel2_ndvi_mean_1000m,lag_sentinel2_ndvi_mean_500m,lag_modis_ndvi_mean_1000m
Major_Dhyan_Chand_National_Stadium,2024,3,train,2024-03-01,0.3654423325684195,0.3590940072224625,0.3840495814307459
Major_Dhyan_Chand_National_Stadium,2024,4,train,2024-04-01,0.4089007314638244,0.398622567672544,0.3780325273280753
Major_Dhyan_Chand_National_Stadium,2024,5,train,2024-05-01,0.3632540863259453,0.3576552834427904,0.4086655464456259
Major_Dhyan_Chand_National_Stadium,2024,6,train,2024-06-01,0.3470440856265408,0.335371228098003,0.3672965442092156
Major_Dhyan_Chand_National_Stadium,2024,7,train,2024-07-01,0.3624123073974619,0.3500666306124451,0.3464832646331409
Major_Dhyan_Chand_National_Stadium,2024,8,train,2024-08-01,0.2329574023988332,0.2121949295697342,0.5500882322713257
Major_Dhyan_Chand_National_Stadium,2024,10,train,2024-10-01,,,
Major_Dhyan_Chand_National_Stadium,2024,11,train,2024-11-01,0.4575153738298893,0.4412765427337656,0.3851606164383563
Major_Dhyan_Chand_National_Stadium,2024,12,train,2024-12-01,0.3032987864133039,0.2892328695611606,0.3753437456759377
Major_Dhyan_Chand_National_Stadium,2025,1,train,2025-01-01,0.3806998303746746,0.3756622333228459,0.3926066763525669
Major_Dhyan_Chand_National_Stadium,2025,3,train,2025-03-01,,,
Major_Dhyan_Chand_National_Stadium,2025,4,train,2025-04-01,0.4082517589763042,0.4012124013099619,0.3911468382454684
Major_Dhyan_Chand_National_Stadium,2025,5,train,2025-05-01,0.3767912410258777,0.3688966247638552,0.4028061713020617
Major_Dhyan_Chand_National_Stadium,2025,7,train,2025-07-01,,,
Major_Dhyan_Chand_National_Stadium,2025,9,train,2025-09-01,,,
Major_Dhyan_Chand_National_Stadium,2025,10,train,2025-10-01,0.4568906983851116,0.4495824695992479,0.4811453438494539
Major_Dhyan_Chand_National_Stadium,2025,11,train,2025-11-01,0.435652036042471,0.416853356129315,0.4775328767123288
Major_Dhyan_Chand_National_Stadium,2025,12,train,2025-12-01,0.3901302066262109,0.3808585926873893,0.3987443545039437
Mandir_Marg,2022,1,train,2022-01-01,,,
Mandir_Marg,2022,2,train,2022-02-01,0.5142674245367215,0.5146505197157464,0.5107446089965396
Mandir_Marg,2022,4,train,2022-04-01,,,
Mandir_Marg,2022,6,train,2022-06-01,,,
Mandir_Marg,2022,8,train,2022-08-01,,,
Mandir_Marg,2022,9,train,2022-09-01,0.5760818442188343,0.6076782706055762,0.6055502365321492
Mandir_Marg,2022,10,train,2022-10-01,0.4413814761780666,0.4731442932533701,0.5625572595155709
