station,year,month,worldpop_density_250m,worldpop_density_500m,worldpop_density_1000m
Rohini,2025,11,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2025,12,17077.66689256199,18197.373726415535,18768.892079536614
Shadipur,2022,1,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2022,2,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2022,3,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2022,4,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2022,5,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2022,6,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2022,7,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2022,8,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2022,9,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2022,10,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2022,11,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2022,12,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2023,1,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2023,2,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2023,3,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2023,4,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2023,5,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2023,6,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2023,7,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2023,8,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2023,9,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2023,10,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2023,11,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2023,12,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2024,1,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2024,2,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2024,3,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2024,4,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2024,5,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2024,6,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2024,7,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2024,8,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2024,9,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2024,10,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2024,11,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2024,12,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2025,1,25840.036046294714,25132.04736812937,24512.078747293483
