country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","04-08-2026 05:00:00",22.06631475,83.33820077,OZONE,38,38,38
India,Delhi,Delhi,"ITO, Delhi - CPCB","04-08-2026 05:00:00",28.628624,77.24106,NO2,14,109,60
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","04-08-2026 05:00:00",28.674045,77.131023,NH3,2,7,5
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","04-08-2026 05:00:00",28.6514781,77.1473105,CO,13,44,32
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","04-08-2026 05:00:00",28.636429,77.201067,PM10,30,91,65
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","04-08-2026 05:00:00",28.5918245,77.2273074,NH3,NA,NA,NA
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","04-08-2026 05:00:00",28.5918245,77.2273074,OZONE,15,30,20
India,Delhi,Delhi,"JNU, Delhi - DPCC","04-08-2026 05:00:00",28.540721,77.168544,PM2.5,6,89,37
India,Delhi,Delhi,"Alipur, Delhi - DPCC","04-08-2026 05:00:00",28.815329,77.15301,PM10,110,169,135
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","04-08-2026 05:00:00",28.563262,77.186937,PM2.5,10,80,38
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","04-08-2026 05:00:00",22.368195,82.746431,CO,8,32,16
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","04-08-2026 05:00:00",22.368195,82.746431,OZONE,8,10,8
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","04-08-2026 05:00:00",22.1910172,83.5197009,PM10,11,95,46
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","04-08-2026 05:00:00",30.943887,76.801991,OZONE,8,23,16
India,"Jammu and Kashmir",Pampore,"Khrew, Pampore - JKPCC","04-08-2026 05:00:00",34.031606,75.009712,NO2,9,29,16
India,"Jammu and Kashmir",Pampore,"Khrew, Pampore - JKPCC","04-08-2026 05:00:00",34.031606,75.009712,SO2,7,15,10
India,"Jammu and Kashmir",Srinagar,"Khunmoh, Srinagar - JKPCC","04-08-2026 05:00:00",34.06313,74.96017,PM2.5,7,21,12
India,"Jammu and Kashmir",Srinagar,"Khunmoh, Srinagar - JKPCC","04-08-2026 05:00:00",34.06313,74.96017,NO2,6,19,12
India,"Jammu and Kashmir",Srinagar,"Khunmoh, Srinagar - JKPCC","04-08-2026 05:00:00",34.06313,74.96017,NH3,NA,NA,NA
India,"Jammu and Kashmir",Srinagar,"Rajbagh, Srinagar - JKPCC","04-08-2026 05:00:00",34.066206,74.81982,PM2.5,16,39,25
India,"Jammu and Kashmir",Srinagar,"Rajbagh, Srinagar - JKPCC","04-08-2026 05:00:00",34.066206,74.81982,NO2,19,20,19
India,"Jammu and Kashmir",Srinagar,"Rajbagh, Srinagar - JKPCC","04-08-2026 05:00:00",34.066206,74.81982,NH3,9,9,9
India,"Jammu and Kashmir",Srinagar,"Rajbagh, Srinagar - JKPCC","04-08-2026 05:00:00",34.066206,74.81982,CO,10,16,15
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","04-08-2026 05:00:00",23.707909,86.41467,NO2,8,8,8
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","04-08-2026 05:00:00",23.707909,86.41467,SO2,21,21,21
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","04-08-2026 05:00:00",23.707909,86.41467,OZONE,4,6,5
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","04-08-2026 05:00:00",16.172806,75.659694,PM2.5,35,36,36
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","04-08-2026 05:00:00",16.172806,75.659694,CO,3,41,21
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","04-08-2026 05:00:00",15.888653,74.541751,PM10,6,30,15
India,Delhi,Delhi,"Narela, Delhi - DPCC","04-08-2026 05:00:00",28.822836,77.101981,OZONE,7,22,14
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","04-08-2026 05:00:00",23.076793,72.627874,PM2.5,12,42,22
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","04-08-2026 05:00:00",23.076793,72.627874,NO2,18,45,32
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","04-08-2026 05:00:00",23.076793,72.627874,NH3,2,2,2
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","04-08-2026 05:00:00",23.016834,72.625775,NO2,19,38,23
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","04-08-2026 05:00:00",23.016834,72.625775,CO,29,55,41
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","04-08-2026 05:00:00",23.016834,72.625775,OZONE,4,5,5
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","04-08-2026 05:00:00",23.107969,72.574648,PM2.5,33,120,71
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","04-08-2026 05:00:00",23.002657,72.591912,PM2.5,46,231,108
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","04-08-2026 05:00:00",23.002657,72.591912,PM10,74,130,109
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","04-08-2026 05:00:00",23.002657,72.591912,CO,1,62,23
