station,year,month,pm25
Dr._Karni_Singh_Shooting_Range,2025,11,213.2
Dr._Karni_Singh_Shooting_Range,2025,12,219.53
Dwarka-Sector_8,2022,1,165.89
Dwarka-Sector_8,2022,2,109.15
Dwarka-Sector_8,2022,3,98.05
Dwarka-Sector_8,2022,4,105.04
Dwarka-Sector_8,2022,5,67.48
Dwarka-Sector_8,2022,6,55.78
Dwarka-Sector_8,2022,7,29.91
Dwarka-Sector_8,2022,8,28.53
Dwarka-Sector_8,2022,9,34.56
Dwarka-Sector_8,2022,10,105.04
Dwarka-Sector_8,2022,11,189.19
Dwarka-Sector_8,2022,12,194.77
Dwarka-Sector_8,2023,1,203.43
Dwarka-Sector_8,2023,2,120.48
Dwarka-Sector_8,2023,3,72.93
Dwarka-Sector_8,2023,4,73.0
Dwarka-Sector_8,2023,5,66.18
Dwarka-Sector_8,2023,6,41.21
Dwarka-Sector_8,2023,7,30.61
Dwarka-Sector_8,2023,8,32.62
Dwarka-Sector_8,2023,9,36.05
Dwarka-Sector_8,2023,10,109.28
Dwarka-Sector_8,2023,11,268.32
Dwarka-Sector_8,2023,12,219.66
Dwarka-Sector_8,2024,1,234.78
Dwarka-Sector_8,2024,2,116.9
Dwarka-Sector_8,2024,3,87.12
Dwarka-Sector_8,2024,4,73.79
Dwarka-Sector_8,2024,5,87.22
Dwarka-Sector_8,2024,6,52.17
Dwarka-Sector_8,2024,7,42.13
Dwarka-Sector_8,2024,8,27.72
Dwarka-Sector_8,2024,9,41.53
Dwarka-Sector_8,2024,10,115.14
Dwarka-Sector_8,2024,11,266.08
Dwarka-Sector_8,2024,12,186.31
Dwarka-Sector_8,2025,1,177.36
Dwarka-Sector_8,2025,2,111.79
Dwarka-Sector_8,2025,3,80.17
Dwarka-Sector_8,2025,4,80.54
Dwarka-Sector_8,2025,5,69.62
Dwarka-Sector_8,2025,6,50.15
Dwarka-Sector_8,2025,7,31.75
Dwarka-Sector_8,2025,8,32.42
Dwarka-Sector_8,2025,9,31.93
Dwarka-Sector_8,2025,10,111.18
Dwarka-Sector_8,2025,11,217.54
Dwarka-Sector_8,2025,12,223.03
IGI_Airport_(T3),2022,1,116.5
IGI_Airport_(T3),2022,2,83.55
IGI_Airport_(T3),2022,3,89.28
IGI_Airport_(T3),2022,4,98.8
IGI_Airport_(T3),2022,5,72.57
IGI_Airport_(T3),2022,6,57.59
IGI_Airport_(T3),2022,7,30.74
IGI_Airport_(T3),2022,8,29.44
IGI_Airport_(T3),2022,9,34.48
IGI_Airport_(T3),2022,10,91.28
IGI_Airport_(T3),2022,11,154.29
IGI_Airport_(T3),2022,12,139.13
IGI_Airport_(T3),2023,1,141.36
IGI_Airport_(T3),2023,2,88.02
IGI_Airport_(T3),2023,3,60.26
IGI_Airport_(T3),2023,4,55.36
IGI_Airport_(T3),2023,5,50.53
IGI_Airport_(T3),2023,6,33.94
IGI_Airport_(T3),2023,7,28.85
IGI_Airport_(T3),2023,8,29.67
IGI_Airport_(T3),2023,9,37.98
IGI_Airport_(T3),2023,10,96.78
IGI_Airport_(T3),2023,11,243.72
IGI_Airport_(T3),2023,12,174.17
IGI_Airport_(T3),2024,1,181.72
IGI_Airport_(T3),2024,2,89.57
IGI_Airport_(T3),2024,3,65.6
IGI_Airport_(T3),2024,4,60.02
IGI_Airport_(T3),2024,5,75.79
IGI_Airport_(T3),2024,6,42.22
IGI_Airport_(T3),2024,7,36.46
IGI_Airport_(T3),2024,8,25.68
IGI_Airport_(T3),2024,9,41.68
IGI_Airport_(T3),2024,10,106.12
IGI_Airport_(T3),2024,11,234.31
IGI_Airport_(T3),2024,12,143.85
IGI_Airport_(T3),2025,1,132.88
IGI_Airport_(T3),2025,2,81.85
IGI_Airport_(T3),2025,3,65.77
IGI_Airport_(T3),2025,4,54.26
IGI_Airport_(T3),2025,5,47.97
IGI_Airport_(T3),2025,6,31.58
IGI_Airport_(T3),2025,7,26.1
IGI_Airport_(T3),2025,8,28.12
IGI_Airport_(T3),2025,9,30.95
IGI_Airport_(T3),2025,10,85.81
IGI_Airport_(T3),2025,11,157.88
IGI_Airport_(T3),2025,12,142.31
IHBAS_Dilshad_Garden,2022,1,127.18
IHBAS_Dilshad_Garden,2022,2,102.57
IHBAS_Dilshad_Garden,2022,3,95.23
IHBAS_Dilshad_Garden,2022,4,91.32
IHBAS_Dilshad_Garden,2022,5,72.81
IHBAS_Dilshad_Garden,2022,6,62.26
IHBAS_Dilshad_Garden,2022,7,44.44
IHBAS_Dilshad_Garden,2022,8,42.74
IHBAS_Dilshad_Garden,2022,9,42.33
IHBAS_Dilshad_Garden,2022,10,98.1
IHBAS_Dilshad_Garden,2022,11,128.6
IHBAS_Dilshad_Garden,2022,12,116.3
IHBAS_Dilshad_Garden,2023,1,109.9
IHBAS_Dilshad_Garden,2023,2,98.54
IHBAS_Dilshad_Garden,2023,3,67.5
IHBAS_Dilshad_Garden,2023,4,66.99
IHBAS_Dilshad_Garden,2023,5,56.78
IHBAS_Dilshad_Garden,2023,6,50.65
IHBAS_Dilshad_Garden,2023,7,33.37
IHBAS_Dilshad_Garden,2023,8,54.92
IHBAS_Dilshad_Garden,2023,9,60.34
IHBAS_Dilshad_Garden,2023,10,94.91
IHBAS_Dilshad_Garden,2023,11,137.22
IHBAS_Dilshad_Garden,2023,12,124.09
IHBAS_Dilshad_Garden,2024,1,132.45
IHBAS_Dilshad_Garden,2024,2,70.51
IHBAS_Dilshad_Garden,2024,3,58.22
IHBAS_Dilshad_Garden,2024,4,64.57
IHBAS_Dilshad_Garden,2024,5,68.36
IHBAS_Dilshad_Garden,2024,6,66.38
IHBAS_Dilshad_Garden,2024,7,32.36
IHBAS_Dilshad_Garden,2024,8,23.99
IHBAS_Dilshad_Garden,2024,9,32.05
IHBAS_Dilshad_Garden,2024,10,79.98
IHBAS_Dilshad_Garden,2024,11,189.33
IHBAS_Dilshad_Garden,2024,12,93.73
IHBAS_Dilshad_Garden,2025,1,90.33
IHBAS_Dilshad_Garden,2025,2,78.28
IHBAS_Dilshad_Garden,2025,3,60.2
IHBAS_Dilshad_Garden,2025,4,74.21
IHBAS_Dilshad_Garden,2025,5,67.78
IHBAS_Dilshad_Garden,2025,6,46.26
IHBAS_Dilshad_Garden,2025,7,26.3
IHBAS_Dilshad_Garden,2025,8,25.31
IHBAS_Dilshad_Garden,2025,9,37.22
IHBAS_Dilshad_Garden,2025,10,114.88
IHBAS_Dilshad_Garden,2025,11,108.32
IHBAS_Dilshad_Garden,2025,12,176.46
IIT_Delhi,2025,12,160.7
IMD_Lodhi_Road,2022,1,109.02
IMD_Lodhi_Road,2022,2,75.07
IMD_Lodhi_Road,2022,3,72.2
IMD_Lodhi_Road,2022,4,66.6
IMD_Lodhi_Road,2022,5,59.15
IMD_Lodhi_Road,2022,6,44.77
IMD_Lodhi_Road,2022,7,30.8
IMD_Lodhi_Road,2022,8,31.19
IMD_Lodhi_Road,2022,9,32.15
IMD_Lodhi_Road,2022,10,76.98
IMD_Lodhi_Road,2022,11,126.83
IMD_Lodhi_Road,2022,12,119.57
IMD_Lodhi_Road,2023,1,126.08
IMD_Lodhi_Road,2023,2,77.76
IMD_Lodhi_Road,2023,3,54.35
IMD_Lodhi_Road,2023,4,47.03
IMD_Lodhi_Road,2023,5,49.61
IMD_Lodhi_Road,2023,6,35.03
IMD_Lodhi_Road,2023,7,32.54
IMD_Lodhi_Road,2023,8,35.64
IMD_Lodhi_Road,2023,9,38.47
IMD_Lodhi_Road,2023,10,77.8
IMD_Lodhi_Road,2023,11,185.96
IMD_Lodhi_Road,2023,12,146.05
IMD_Lodhi_Road,2024,1,173.47
IMD_Lodhi_Road,2024,2,68.51
IMD_Lodhi_Road,2024,3,59.22
IMD_Lodhi_Road,2024,4,46.59
IMD_Lodhi_Road,2024,5,67.62
IMD_Lodhi_Road,2024,6,45.07
IMD_Lodhi_Road,2024,7,34.94
